epoch,step,train_loss,validation_loss
0,23,0.6547029614448547,
0,24,,0.6119256019592285
1,47,0.6636016964912415,
1,49,,0.6119256019592285
2,71,0.5865312218666077,
2,74,,0.6043183207511902
3,95,0.5777392983436584,
3,99,,0.6043183207511902
4,119,0.5615480542182922,
4,124,,0.5804410576820374
5,143,0.5877087712287903,
5,149,,0.5804410576820374
6,167,0.5536553859710693,
6,174,,0.5684898495674133
7,191,0.4783083498477936,
7,199,,0.5684898495674133
8,215,0.6521666646003723,
8,224,,0.5925208926200867
9,239,0.582880973815918,
9,249,,0.5925208926200867
10,263,0.4899417459964752,
10,274,,0.6004390716552734
11,287,0.4709020256996155,
11,299,,0.6004390716552734
12,311,0.4664519727230072,
12,324,,0.6244706511497498
13,335,0.5084797739982605,
13,349,,0.6244706511497498
14,359,0.5118058323860168,
14,374,,0.6185458898544312
15,383,0.4604349136352539,
15,399,,0.6185458898544312
16,407,0.4153912365436554,
16,424,,0.6609309911727905
