epoch,step,train_loss,validation_loss
0,5,0.6419601440429688,
0,6,,0.6415352821350098
1,11,0.67575603723526,
1,13,,0.6415352821350098
2,17,0.6222491264343262,
2,20,,0.62253737449646
3,23,0.6235182881355286,
3,27,,0.62253737449646
4,29,0.6101363301277161,
4,34,,0.611024022102356
5,35,0.6159012317657471,
5,41,0.623602569103241,
5,41,,0.611024022102356
6,47,0.6010816097259521,
6,48,,0.6204800009727478
7,53,0.6164511442184448,
7,55,,0.6204800009727478
8,59,0.6540409326553345,
8,62,,0.6232398152351379
9,65,0.6249749660491943,
9,69,,0.6232398152351379
10,71,0.6327913403511047,
10,76,,0.6015408039093018
11,77,0.6140878796577454,
11,83,0.586557924747467,
11,83,,0.6015408039093018
12,89,0.622782826423645,
12,90,,0.6169444918632507
13,95,0.5864008069038391,
13,97,,0.6169444918632507
14,101,0.5839770436286926,
14,104,,0.5797921419143677
15,107,0.5622565150260925,
15,111,,0.5797921419143677
16,113,0.5739257335662842,
16,118,,0.5877787470817566
17,119,0.5559723973274231,
17,125,0.5639317035675049,
17,125,,0.5877787470817566
18,131,0.5710412263870239,
18,132,,0.5904015898704529
19,137,0.5648782849311829,
19,139,,0.5904015898704529
20,143,0.6086648106575012,
20,146,,0.6009341478347778
21,149,0.5739389657974243,
21,153,,0.6009341478347778
22,155,0.528257429599762,
22,160,,0.5868208408355713
23,161,0.5206888914108276,
23,167,0.5248023867607117,
23,167,,0.5868208408355713
24,173,0.5479283928871155,
24,174,,0.6097253561019897
