epoch,step,train_loss,validation_loss
0,5,0.6190553307533264,
0,6,,0.6187968254089355
1,11,0.6108527779579163,
1,13,,0.6187968254089355
2,17,0.6075774431228638,
2,20,,0.6002787351608276
3,23,0.5581275224685669,
3,27,,0.6002787351608276
4,29,0.598802924156189,
4,34,,0.5851383209228516
5,35,0.5769913196563721,
5,41,0.5160433650016785,
5,41,,0.5851383209228516
6,47,0.5881462097167969,
6,48,,0.6383334994316101
7,53,0.6160992980003357,
7,55,,0.6383334994316101
8,59,0.5888693928718567,
8,62,,0.6006501913070679
9,65,0.5871930718421936,
9,69,,0.6006501913070679
10,71,0.5884547233581543,
10,76,,0.597119152545929
11,77,0.5278445482254028,
11,83,0.576155424118042,
11,83,,0.597119152545929
12,89,0.5418478846549988,
12,90,,0.597709059715271
13,95,0.5497913956642151,
13,97,,0.597709059715271
14,101,0.6432140469551086,
14,104,,0.5946219563484192
