epoch,step,train_loss,validation_loss
0,23,0.6137165427207947,
0,24,,0.6058021187782288
1,47,0.5784319043159485,
1,49,,0.6058021187782288
2,71,0.5819844603538513,
2,74,,0.5988858342170715
3,95,0.5713851451873779,
3,99,,0.5988858342170715
4,119,0.6059635281562805,
4,124,,0.6121147871017456
5,143,0.599960446357727,
5,149,,0.6121147871017456
6,167,0.6111616492271423,
6,174,,0.6257791519165039
7,191,0.6473475694656372,
7,199,,0.6257791519165039
8,215,0.599041759967804,
8,224,,0.6001232266426086
9,239,0.5589377880096436,
9,249,,0.6001232266426086
10,263,0.5969071984291077,
10,274,,0.5926923751831055
11,287,0.503229558467865,
11,299,,0.5926923751831055
12,311,0.5659828186035156,
12,324,,0.5935777425765991
13,335,0.4909050166606903,
13,349,,0.5935777425765991
14,359,0.48904335498809814,
14,374,,0.6099588871002197
15,383,0.46169620752334595,
15,399,,0.6099588871002197
16,407,0.5221174359321594,
16,424,,0.6214253306388855
17,431,0.46496111154556274,
17,449,,0.6214253306388855
18,455,0.4604068398475647,
18,474,,0.6188108921051025
19,479,0.3999461233615875,
19,499,,0.6188108921051025
20,503,0.46563026309013367,
20,524,,0.6111249923706055
