epoch,step,train_loss,validation_loss
0,23,0.6162360310554504,
0,24,,0.6127817630767822
1,47,0.6204553246498108,
1,49,,0.6127817630767822
2,71,0.5625339150428772,
2,74,,0.6115227937698364
3,95,0.6218734383583069,
3,99,,0.6115227937698364
4,119,0.6125925183296204,
4,124,,0.607978880405426
5,143,0.5458934903144836,
5,149,,0.607978880405426
6,167,0.6021679043769836,
6,174,,0.6253380179405212
7,191,0.6644778847694397,
7,199,,0.6253380179405212
8,215,0.6387775540351868,
8,224,,0.6324365735054016
9,239,0.61574387550354,
9,249,,0.6324365735054016
10,263,0.6354250311851501,
10,274,,0.6308744549751282
11,287,0.628578782081604,
11,299,,0.6308744549751282
12,311,0.6026747226715088,
12,324,,0.6305293440818787
13,335,0.641933798789978,
13,349,,0.6305293440818787
14,359,0.6111125349998474,
14,374,,0.6298922896385193
