epoch,step,train_loss,validation_loss
0,23,0.5823802947998047,
0,24,,0.6080146431922913
1,47,0.615091860294342,
1,49,,0.6080146431922913
2,71,0.5258377194404602,
2,74,,0.5691609382629395
3,95,0.4794268012046814,
3,99,,0.5691609382629395
4,119,0.506103515625,
4,124,,0.5622235536575317
5,143,0.5222808718681335,
5,149,,0.5622235536575317
6,167,0.44734373688697815,
6,174,,0.6025081276893616
7,191,0.417379766702652,
7,199,,0.6025081276893616
8,215,0.506099283695221,
8,224,,0.6385893225669861
9,239,0.5556799173355103,
9,249,,0.6385893225669861
10,263,0.5325506329536438,
10,274,,0.6024530529975891
11,287,0.39556288719177246,
11,299,,0.6024530529975891
12,311,0.574979841709137,
12,324,,0.6200487017631531
13,335,0.4371797740459442,
13,349,,0.6200487017631531
14,359,0.47639527916908264,
14,374,,0.6088818311691284
